,0
2015-12-17,100000.0
2015-12-18,100000.0
2015-12-21,100000.0
2015-12-22,100000.0
2015-12-23,100000.0
2015-12-24,100000.0
2015-12-28,100000.0
2015-12-29,100000.0
2015-12-30,100000.0
2015-12-31,100000.0
2016-01-04,100000.0
2016-01-05,100000.0
2016-01-06,100000.0
2016-01-07,100000.0
2016-01-08,100000.0
2016-01-11,100000.0
2016-01-12,100000.0
2016-01-13,100000.0
2016-01-14,100000.0
2016-01-15,100000.0
2016-01-19,100000.0
2016-01-20,100000.0
2016-01-21,100000.0
2016-01-22,100000.0
2016-01-25,100000.0
2016-01-26,100000.0
2016-01-27,100000.0
2016-01-28,100000.0
2016-01-29,100000.0
2016-02-01,100000.0
2016-02-02,100000.0
2016-02-03,100000.0
2016-02-04,100000.0
2016-02-05,100000.0
2016-02-08,100000.0
2016-02-09,100000.0
2016-02-10,100000.0
2016-02-11,100000.0
2016-02-12,100000.0
2016-02-16,100000.0
2016-02-17,100000.0
2016-02-18,100000.0
2016-02-19,100000.0
2016-02-22,100000.0
2016-02-23,100000.0
2016-02-24,100000.0
2016-02-25,100000.0
2016-02-26,100000.0
2016-02-29,100000.0
2016-03-01,100000.0
2016-03-02,100000.0
2016-03-03,100000.0
2016-03-04,100000.0
2016-03-07,100000.0
2016-03-08,100000.0
2016-03-09,100000.0
2016-03-10,100000.0
2016-03-11,100000.0
2016-03-14,100000.0
2016-03-15,100000.0
2016-03-16,100000.0
2016-03-17,100000.0
2016-03-18,100000.0
2016-03-21,100000.0
2016-03-22,100000.0
2016-03-23,100000.0
2016-03-24,100000.0
2016-03-28,100000.0
2016-03-29,100000.0
2016-03-30,100000.0
2016-03-31,100000.0
2016-04-01,100000.0
2016-04-04,100000.0
2016-04-05,100000.0
2016-04-06,100000.0
2016-04-07,100000.0
2016-04-08,100000.0
2016-04-11,100000.0
2016-04-12,100000.0
2016-04-13,100000.0
2016-04-14,100000.0
2016-04-15,100000.0
2016-04-18,100000.0
2016-04-19,100000.0
2016-04-20,100000.0
2016-04-21,100000.0
2016-04-22,100000.0
2016-04-25,100000.0
2016-04-26,100000.0
2016-04-27,100000.0
2016-04-28,100000.0
2016-04-29,100000.0
2016-05-02,100000.0
2016-05-03,100000.0
2016-05-04,100000.0
2016-05-05,100000.0
2016-05-06,100000.0
2016-05-09,100000.0
2016-05-10,100000.0
2016-05-11,100000.0
2016-05-12,100000.0
2016-05-13,100000.0
2016-05-16,100000.0
2016-05-17,100000.0
2016-05-18,100000.0
2016-05-19,100000.0
2016-05-20,100000.0
2016-05-23,100000.0
2016-05-24,100000.0
2016-05-25,100000.0
2016-05-26,100000.0
2016-05-27,100000.0
2016-05-31,100000.0
2016-06-01,100000.0
2016-06-02,100000.0
2016-06-03,100000.0
2016-06-06,100000.0
2016-06-07,100000.0
2016-06-08,100000.0
2016-06-09,100000.0
2016-06-10,100000.0
2016-06-13,100000.0
2016-06-14,100000.0
2016-06-15,100000.0
2016-06-16,100000.0
2016-06-17,100000.0
2016-06-20,100000.0
2016-06-21,100000.0
2016-06-22,100000.0
2016-06-23,100000.0
2016-06-24,100000.0
2016-06-27,100000.0
2016-06-28,100000.0
2016-06-29,100000.0
2016-06-30,100000.0
2016-07-01,100000.0
2016-07-05,100000.0
2016-07-06,100000.0
2016-07-07,100000.0
2016-07-08,100000.0
2016-07-11,100000.0
2016-07-12,100000.0
2016-07-13,100000.0
2016-07-14,100000.0
2016-07-15,100000.0
2016-07-18,100000.0
2016-07-19,100000.0
2016-07-20,100000.0
2016-07-21,100000.0
2016-07-22,100000.0
2016-07-25,100000.0
2016-07-26,100000.0
2016-07-27,100000.0
2016-07-28,100000.0
2016-07-29,100000.0
2016-08-01,100000.0
2016-08-02,100000.0
2016-08-03,100000.0
2016-08-04,100000.0
2016-08-05,100000.0
2016-08-08,100000.0
2016-08-09,100000.0
2016-08-10,100000.0
2016-08-11,100000.0
2016-08-12,100000.0
2016-08-15,100000.0
2016-08-16,100000.0
2016-08-17,100000.0
2016-08-18,100111.43760714245
2016-08-19,101255.19745669079
2016-08-22,101176.31753191662
2016-08-23,101353.79783281994
2016-08-24,100880.51734385204
2016-08-25,100955.71455872965
2016-08-26,101152.91484082652
2016-08-29,101074.03491605235
2016-08-30,100975.4345399232
2016-08-31,100883.04665958595
2016-09-01,100883.04665958595
2016-09-02,100883.04665958595
2016-09-06,100883.04665958595
2016-09-07,100883.04665958595
2016-09-08,100883.04665958595
2016-09-09,100883.04665958595
2016-09-12,100883.04665958595
2016-09-13,100883.04665958595
2016-09-14,100883.04665958595
2016-09-15,100883.04665958595
2016-09-16,100883.04665958595
2016-09-19,100883.04665958595
2016-09-20,100883.04665958595
2016-09-21,100883.04665958595
2016-09-22,100883.04665958595
2016-09-23,100883.04665958595
2016-09-26,100883.04665958595
2016-09-27,100883.04665958595
2016-09-28,100883.04665958595
2016-09-29,100883.04665958595
2016-09-30,100883.04665958595
2016-10-03,100883.04665958595
2016-10-04,100585.12284985418
2016-10-05,101193.70011654729
2016-10-06,101603.19469586248
2016-10-07,102028.87250271672
2016-10-10,102155.12121334905
2016-10-11,102157.17320075484
2016-10-12,102580.82731643172
2016-10-13,102679.15476050826
2016-10-14,102810.66317763778
2016-10-17,102730.54422774764
2016-10-18,102764.93910041304
2016-10-19,103040.49746337386
2016-10-20,102939.7406446025
2016-10-21,103222.9896642253
2016-10-24,103709.36087623092
2016-10-25,104012.43876090499
2016-10-26,103344.78373351546
2016-10-27,102206.1321168172
2016-10-28,102206.1321168172
2016-10-31,102206.1321168172
2016-11-01,102206.1321168172
2016-11-02,102206.1321168172
2016-11-03,102206.1321168172
2016-11-04,102206.1321168172
2016-11-07,102206.1321168172
2016-11-08,102206.1321168172
2016-11-09,102206.1321168172
2016-11-10,102206.1321168172
2016-11-11,102206.1321168172
2016-11-14,102206.1321168172
2016-11-15,102206.1321168172
2016-11-16,102206.1321168172
2016-11-17,102206.1321168172
2016-11-18,102206.1321168172
2016-11-21,102206.1321168172
2016-11-22,102206.1321168172
2016-11-23,102206.1321168172
2016-11-25,102206.1321168172
2016-11-28,102206.1321168172
2016-11-29,102206.1321168172
2016-11-30,102206.1321168172
2016-12-01,102206.1321168172
2016-12-02,102206.1321168172
2016-12-05,102206.1321168172
2016-12-06,102206.1321168172
2016-12-07,102206.1321168172
2016-12-08,102206.1321168172
2016-12-09,102206.1321168172
2016-12-12,102206.1321168172
2016-12-13,102206.1321168172
2016-12-14,102206.1321168172
2016-12-15,102206.1321168172
2016-12-16,102206.1321168172
2016-12-19,102206.1321168172
2016-12-20,102206.1321168172
2016-12-21,102206.1321168172
2016-12-22,102206.1321168172
2016-12-23,102206.1321168172
2016-12-27,102206.1321168172
2016-12-28,102206.1321168172
2016-12-29,102206.1321168172
2016-12-30,102206.1321168172
2017-01-03,102206.1321168172
2017-01-04,102206.1321168172
2017-01-05,102206.1321168172
2017-01-06,102206.1321168172
2017-01-09,102206.1321168172
2017-01-10,102206.1321168172
2017-01-11,102206.1321168172
2017-01-12,102206.1321168172
2017-01-13,102206.1321168172
2017-01-17,102206.1321168172
2017-01-18,102206.1321168172
2017-01-19,102206.1321168172
2017-01-20,102206.1321168172
2017-01-23,102206.1321168172
2017-01-24,102206.1321168172
2017-01-25,102206.1321168172
2017-01-26,102206.1321168172
2017-01-27,102206.1321168172
2017-01-30,102206.1321168172
2017-01-31,102206.1321168172
2017-02-01,102206.1321168172
2017-02-02,102206.1321168172
2017-02-03,102206.1321168172
2017-02-06,102206.1321168172
2017-02-07,102206.1321168172
2017-02-08,102206.1321168172
2017-02-09,102206.1321168172
2017-02-10,102206.1321168172
2017-02-13,102206.1321168172
2017-02-14,102206.1321168172
2017-02-15,102206.1321168172
2017-02-16,102206.1321168172
2017-02-17,102206.1321168172
2017-02-21,102206.1321168172
2017-02-22,102206.1321168172
2017-02-23,102206.1321168172
2017-02-24,102206.1321168172
2017-02-27,102206.1321168172
2017-02-28,102206.1321168172
2017-03-01,102206.1321168172
2017-03-02,102206.1321168172
2017-03-03,102206.1321168172
2017-03-06,102206.1321168172
2017-03-07,102206.1321168172
2017-03-08,102206.1321168172
2017-03-09,102206.1321168172
2017-03-10,102206.1321168172
2017-03-13,102206.1321168172
2017-03-14,102206.1321168172
2017-03-15,102206.1321168172
2017-03-16,102206.1321168172
2017-03-17,102206.1321168172
2017-03-20,102206.1321168172
2017-03-21,102206.1321168172
2017-03-22,102206.1321168172
2017-03-23,102206.1321168172
2017-03-24,102206.1321168172
2017-03-27,102206.1321168172
2017-03-28,102206.1321168172
2017-03-29,102206.1321168172
2017-03-30,102206.1321168172
2017-03-31,102206.1321168172
2017-04-03,102206.1321168172
