symbol,entry_date,entry,exit_date,exit,bars,reason,r,pnl,mom_pct
AMD,2016-08-18,6.98,2016-08-31,7.4,9,trail-10sma,1.77,883.05,1.0
TPL,2016-10-04,23.79,2016-10-27,25.46,17,trail-10sma,2.62,1323.09,0.98
ALNY,2017-06-14,75.87,2017-06-27,79.79,9,trail-10sma,2.39,1219.53,0.99
XYZ,2018-02-28,47.13,2018-03-01,45.55,1,stop,-1.0,-516.24,1.0
XYZ,2018-03-05,48.02,2018-03-23,51.64,14,trail-10sma,1.74,893.48,1.0
CVNA,2018-06-01,5.85,2018-06-20,7.74,13,trail-10sma,4.86,2521.17,0.99
CVNA,2018-09-04,13.0,2018-09-05,12.65,1,stop,-1.0,-543.74,1.0
AMD,2018-08-22,20.43,2018-09-21,31.0,21,trail-10sma,16.26,7972.36,0.99
TSLA,2018-11-07,23.29,2018-11-12,22.64,3,stop,-1.0,-568.4,0.97
TTD,2019-03-21,21.2,2019-03-22,20.44,1,stop,-1.0,-565.46,1.0
TTD,2019-03-22,21.46,2019-03-25,20.15,1,stop,-1.29,-725.03,1.0
CVNA,2019-04-01,11.96,2019-04-08,11.75,5,trail-10sma,-0.48,-267.62,1.0
CVNA,2019-04-26,13.49,2019-05-09,13.49,9,stop,1.41,777.41,1.0
CVNA,2019-05-09,14.84,2019-05-10,14.15,1,stop,-1.0,-561.89,1.0
CVNA,2019-09-05,16.93,2019-09-09,16.49,2,stop,-1.0,-559.06,0.99
CVNA,2019-09-09,17.01,2019-09-10,16.26,1,stop,-1.0,-556.07,0.99
SHOP,2020-05-26,84.24,2020-05-27,75.5,1,stop,-2.01,-1110.12,1.0
COHR,2020-06-08,51.06,2020-06-09,48.22,1,stop,-1.03,-567.1,0.98
COHR,2020-06-19,51.1,2020-06-22,49.1,1,stop,-1.0,-550.77,0.95
TSLA,2020-06-01,57.23,2020-06-24,64.02,17,trail-10sma,4.84,2463.78,1.0
CVNA,2020-06-18,24.55,2020-06-24,23.54,4,stop,-1.0,-550.73,1.0
MRNA,2020-06-25,67.03,2020-06-26,60.71,1,stop,-1.5,-841.03,1.0
PDD,2020-06-30,89.29,2020-07-01,84.96,1,stop,-1.0,-554.83,0.99
PDD,2020-07-02,90.53,2020-07-06,86.61,1,stop,-1.0,-552.05,0.98
PDD,2020-07-06,99.01,2020-07-07,88.0,1,stop,-1.74,-957.82,0.98
TTD,2020-06-16,37.75,2020-07-13,43.04,18,trail-10sma,3.98,2193.96,0.98
XYZ,2020-06-16,93.12,2020-07-13,118.59,18,trail-10sma,7.79,4286.83,0.98
CVNA,2020-07-06,26.68,2020-07-13,25.83,5,stop,-1.0,-552.97,0.99
DXCM,2020-07-06,103.92,2020-07-13,101.32,5,stop,-1.0,-552.07,0.96
CRWD,2020-07-08,27.43,2020-07-13,26.72,3,stop,-1.0,-551.65,0.98
FCX,2020-06-30,10.69,2020-07-23,12.37,16,trail-10sma,3.27,1828.5,0.97
DXCM,2020-08-03,111.68,2020-08-06,108.1,3,stop,-1.0,-573.33,0.98
MELI,2020-07-30,1125.56,2020-08-10,1125.56,7,stop,0.84,468.94,0.98
XYZ,2020-08-03,133.31,2020-08-11,138.18,6,trail-10sma,1.42,812.85,0.99
XYZ,2020-09-01,164.89,2020-09-02,160.98,1,stop,-1.0,-544.24,0.99
CVNA,2020-07-20,28.64,2020-09-03,39.68,33,trail-10sma,7.95,4493.34,0.98
XYZ,2020-09-02,170.69,2020-09-03,157.0,1,stop,-1.65,-944.29,0.99
CRWD,2020-10-05,36.46,2020-10-08,35.5,3,stop,-1.0,-588.7,0.97
TSLA,2020-10-14,150.0,2020-10-19,146.07,3,stop,-1.0,-585.85,1.0
XYZ,2020-10-09,185.46,2020-10-20,185.46,7,stop,0.09,50.03,1.0
